item_id,name,description_de,price,category,meal_type,is_lunch_menu,is_vegetarian,is_vegan_possible,contains_chicken,contains_lamb,contains_fish,contains_shrimp,contains_duck,contains_paneer,allergen_codes,source_page,search_text
500,Aloo Gobi Masala,"Kartoffeln mit Blumenkohl; zubereitet mit Ingwer, Knoblauch, Zwiebeln, Tomaten, frischem Koriander und Gewürzen",9.90,Mittagsmenü / lunch menu,main,true,true,true,false,false,false,false,false,false,f,1,"Name: Aloo Gobi Masala | Category: Mittagsmenü / lunch menu | Description: Kartoffeln mit Blumenkohl; zubereitet mit Ingwer, Knoblauch, Zwiebeln, Tomaten, frischem Koriander und Gewürzen | Allergens: f"
501,Channa Masala,Kichererbsen in indischer Currysoße,9.90,Mittagsmenü / lunch menu,main,true,true,true,false,false,false,false,false,false,f,1,Name: Channa Masala | Category: Mittagsmenü / lunch menu | Description: Kichererbsen in indischer Currysoße | Allergens: f
502,Veg. Fried Rice,"gebratener Reis mit frischem Gemüse, Frühlingszwiebeln, Ei und Sojasoße",9.90,Mittagsmenü / lunch menu,main,true,true,true,false,false,false,false,false,false,,1,"Name: Veg. Fried Rice | Category: Mittagsmenü / lunch menu | Description: gebratener Reis mit frischem Gemüse, Frühlingszwiebeln, Ei und Sojasoße"
503,Gebratene Veg.-Nudeln,"gebratene Nudeln mit frischem Gemüse, Frühlingszwiebeln, Ei und Sojasoße",9.90,Mittagsmenü / lunch menu,main,true,true,true,false,false,false,false,false,false,,1,"Name: Gebratene Veg.-Nudeln | Category: Mittagsmenü / lunch menu | Description: gebratene Nudeln mit frischem Gemüse, Frühlingszwiebeln, Ei und Sojasoße"
504,Samosa-Teller,"Zwei Samosa mit Currykichererbsen, Tomaten, Gurken, Zwiebeln und mit zweierlei Soßen garniert",10.90,Mittagsmenü / lunch menu,main,true,true,true,false,false,false,false,false,false,,1,"Name: Samosa-Teller | Category: Mittagsmenü / lunch menu | Description: Zwei Samosa mit Currykichererbsen, Tomaten, Gurken, Zwiebeln und mit zweierlei Soßen garniert"
505,Paneer Tikka Biryani,"gebratener Basmatireis mit frischem Paneer, Cashewnüssen, Mandeln und Rosinen",10.90,Mittagsmenü / lunch menu,main,true,true,false,false,false,false,false,false,true,"f,g",1,"Name: Paneer Tikka Biryani | Category: Mittagsmenü / lunch menu | Description: gebratener Basmatireis mit frischem Paneer, Cashewnüssen, Mandeln und Rosinen | Allergens: f,g"
506,Chili Paneer,"zarter indischer Käse in einer Paprika -Zwiebel-Soße und Chili, mit exotischen Gewürzen verfeinert",10.90,Mittagsmenü / lunch menu,main,true,true,false,false,false,false,false,false,true,,1,"Name: Chili Paneer | Category: Mittagsmenü / lunch menu | Description: zarter indischer Käse in einer Paprika -Zwiebel-Soße und Chili, mit exotischen Gewürzen verfeinert"
507,Palak Paneer,"frischer hausgemachter indischer Käse mit Spinat; zubereitet mit frischem Ingwer, Knoblauch und Tomaten",10.90,Mittagsmenü / lunch menu,main,true,true,false,false,false,false,false,false,true,f,2,"Name: Palak Paneer | Category: Mittagsmenü / lunch menu | Description: frischer hausgemachter indischer Käse mit Spinat; zubereitet mit frischem Ingwer, Knoblauch und Tomaten | Allergens: f"
508,Mango Paneer,hausgemachter indischer Käse mit Mango in einer exotischen Früchtesoße zubereitet,10.90,Mittagsmenü / lunch menu,main,true,true,false,false,false,false,false,false,true,,2,Name: Mango Paneer | Category: Mittagsmenü / lunch menu | Description: hausgemachter indischer Käse mit Mango in einer exotischen Früchtesoße zubereitet
509,Paneer Jalfrezi,"hausgemachter indischer Käse mit Paprika, Zwiebeln und Tomaten in Curry-Gewürz-Soße zubereitet",10.90,Mittagsmenü / lunch menu,main,true,true,false,false,false,false,false,false,true,,2,"Name: Paneer Jalfrezi | Category: Mittagsmenü / lunch menu | Description: hausgemachter indischer Käse mit Paprika, Zwiebeln und Tomaten in Curry-Gewürz-Soße zubereitet"
520,Chicken Fried Rice,"gebratener Reis mit Hähnchenfleisch, frischem Gemüse, Frühlings-Zwiebeln, Ei und Sojasoße",10.90,Mittagsmenü / lunch menu,main,true,false,false,true,false,false,false,false,false,,2,"Name: Chicken Fried Rice | Category: Mittagsmenü / lunch menu | Description: gebratener Reis mit Hähnchenfleisch, frischem Gemüse, Frühlings-Zwiebeln, Ei und Sojasoße"
521,Gebratene Nudeln mit Hähnchen,"mit frischem Gemüse, Frühlingszwiebeln, Ei und Sojasoße",10.90,Mittagsmenü / lunch menu,main,true,false,false,true,false,false,false,false,false,,2,"Name: Gebratene Nudeln mit Hähnchen | Category: Mittagsmenü / lunch menu | Description: mit frischem Gemüse, Frühlingszwiebeln, Ei und Sojasoße"
522,Chicken Curry,exotisches Curry mit Hähnchenfilet,11.90,Mittagsmenü / lunch menu,main,true,false,false,true,false,false,false,false,false,f,2,Name: Chicken Curry | Category: Mittagsmenü / lunch menu | Description: exotisches Curry mit Hähnchenfilet | Allergens: f
523,Butter Chicken,zartes Hähnchenfilet aus dem Tandoor in Butter-Tomaten-Sahnesoße,11.90,Mittagsmenü / lunch menu,main,true,false,false,true,false,false,false,false,false,"f,g",2,"Name: Butter Chicken | Category: Mittagsmenü / lunch menu | Description: zartes Hähnchenfilet aus dem Tandoor in Butter-Tomaten-Sahnesoße | Allergens: f,g"
524,Chicken Korma,zartes Hähnchenfilet mit Cashewnüssen in Mandelsoße zubereitet,11.90,Mittagsmenü / lunch menu,main,true,false,false,true,false,false,false,false,false,"f,g",2,"Name: Chicken Korma | Category: Mittagsmenü / lunch menu | Description: zartes Hähnchenfilet mit Cashewnüssen in Mandelsoße zubereitet | Allergens: f,g"
525,Mango Chicken,zartes Hähnchenfilet mit Mango in einer exotischen Früchtesoße zubereitet,11.90,Mittagsmenü / lunch menu,main,true,false,false,true,false,false,false,false,false,f,2,Name: Mango Chicken | Category: Mittagsmenü / lunch menu | Description: zartes Hähnchenfilet mit Mango in einer exotischen Früchtesoße zubereitet | Allergens: f
526,Chicken Lababdar,zartes Hähnchen in einer aromatischen Tomaten-Curry-Soße mit Mozzarella-Käse; langsam gegart und mit Gewürzen und Sahne verfeinert,11.90,Mittagsmenü / lunch menu,main,true,false,false,true,false,false,false,false,false,,2,Name: Chicken Lababdar | Category: Mittagsmenü / lunch menu | Description: zartes Hähnchen in einer aromatischen Tomaten-Curry-Soße mit Mozzarella-Käse; langsam gegart und mit Gewürzen und Sahne verfeinert
527,Chicken Channa Saag,"zartes Hähnchenfilet und Kichererbsen mit Blattspinat, Ingwer und exotischen Gewürzen",11.90,Mittagsmenü / lunch menu,main,true,false,false,true,false,false,false,false,false,f,2,"Name: Chicken Channa Saag | Category: Mittagsmenü / lunch menu | Description: zartes Hähnchenfilet und Kichererbsen mit Blattspinat, Ingwer und exotischen Gewürzen | Allergens: f"
528,Chicken Tikka Masala,gegrilltes Hähnchenfilet in einer würzigen Soße serviert und mit exotischen Gewürzen verfeinert,11.90,Mittagsmenü / lunch menu,main,true,false,false,true,false,false,false,false,false,,2,Name: Chicken Tikka Masala | Category: Mittagsmenü / lunch menu | Description: gegrilltes Hähnchenfilet in einer würzigen Soße serviert und mit exotischen Gewürzen verfeinert
529,Achari Chicken,"zartes Hähnchenfilet mit Knoblauch, Ingwer, Zitronensaft und Currysoße",11.90,Mittagsmenü / lunch menu,main,true,false,false,true,false,false,false,false,false,f,2,"Name: Achari Chicken | Category: Mittagsmenü / lunch menu | Description: zartes Hähnchenfilet mit Knoblauch, Ingwer, Zitronensaft und Currysoße | Allergens: f"
540,Lamb Karahi,"zartes Lammfleisch mit verschiedenen indischen Gewürzen, Paprika, Tomaten, Zwiebeln und frischen Kräutern in Currysoße",12.90,Mittagsmenü / lunch menu,main,true,false,false,false,true,false,false,false,false,f,2,"Name: Lamb Karahi | Category: Mittagsmenü / lunch menu | Description: zartes Lammfleisch mit verschiedenen indischen Gewürzen, Paprika, Tomaten, Zwiebeln und frischen Kräutern in Currysoße | Allergens: f"
541,Lamb Korma,zartes Lammfleisch mit Cashewnüssen in Mandelsoße zubereitet,12.90,Mittagsmenü / lunch menu,main,true,false,false,false,true,false,false,false,false,"f,g",2,"Name: Lamb Korma | Category: Mittagsmenü / lunch menu | Description: zartes Lammfleisch mit Cashewnüssen in Mandelsoße zubereitet | Allergens: f,g"
542,Lamb Vindaloo,zartes Lammfleisch und Kartoffeln in einer scharfen südindischen Currysoße,12.90,Mittagsmenü / lunch menu,main,true,false,false,false,true,false,false,false,false,f,2,Name: Lamb Vindaloo | Category: Mittagsmenü / lunch menu | Description: zartes Lammfleisch und Kartoffeln in einer scharfen südindischen Currysoße | Allergens: f
543,Lamb Jalfrezi,zartes Lammfleisch mit Paprika in einer pikanten Currysoße,12.90,Mittagsmenü / lunch menu,main,true,false,false,false,true,false,false,false,false,f,3,Name: Lamb Jalfrezi | Category: Mittagsmenü / lunch menu | Description: zartes Lammfleisch mit Paprika in einer pikanten Currysoße | Allergens: f
544,Lamb Mango,zartes Lammfleisch in einer exotischen Mango-Zwiebel-Currysoße,12.90,Mittagsmenü / lunch menu,main,true,false,false,false,true,false,false,false,false,f,3,Name: Lamb Mango | Category: Mittagsmenü / lunch menu | Description: zartes Lammfleisch in einer exotischen Mango-Zwiebel-Currysoße | Allergens: f
545,Lamb Saag,"zartes Lammfleisch in Blattspinat, Ingwer und exotischen Gewürzen",12.90,Mittagsmenü / lunch menu,main,true,false,false,false,true,false,false,false,false,f,3,"Name: Lamb Saag | Category: Mittagsmenü / lunch menu | Description: zartes Lammfleisch in Blattspinat, Ingwer und exotischen Gewürzen | Allergens: f"
560,Maschli Jalfrezi,zarter Seelachs mit Paprika in einer pikanten Currysoße,13.90,Mittagsmenü / lunch menu,main,true,false,false,false,false,true,false,false,false,,3,Name: Maschli Jalfrezi | Category: Mittagsmenü / lunch menu | Description: zarter Seelachs mit Paprika in einer pikanten Currysoße
561,Maschli Madras,zarter Seelachs zubereitet mit Kokosmilch und Curry-Gewürzen,13.90,Mittagsmenü / lunch menu,main,true,false,false,false,false,true,false,false,false,,3,Name: Maschli Madras | Category: Mittagsmenü / lunch menu | Description: zarter Seelachs zubereitet mit Kokosmilch und Curry-Gewürzen
562,Chili Maschli,Seelachs in Chili-Soße nach indischer Art,13.90,Mittagsmenü / lunch menu,main,true,false,false,false,false,true,false,false,false,d,3,Name: Chili Maschli | Category: Mittagsmenü / lunch menu | Description: Seelachs in Chili-Soße nach indischer Art | Allergens: d
563,Jheenga Curry,"Garnelen in pikanter Soße mit Tomaten, Zwiebeln, Ingwer, Knoblauch, indischen Gewürzen und Kräutern gebraten",13.90,Mittagsmenü / lunch menu,main,true,false,false,false,false,false,true,false,false,"d,f",3,"Name: Jheenga Curry | Category: Mittagsmenü / lunch menu | Description: Garnelen in pikanter Soße mit Tomaten, Zwiebeln, Ingwer, Knoblauch, indischen Gewürzen und Kräutern gebraten | Allergens: d,f"
564,Jheenga Masala,Garnelen in Masala-Soße nach indischer Art,13.90,Mittagsmenü / lunch menu,main,true,false,false,false,false,false,true,false,false,"d,f",3,"Name: Jheenga Masala | Category: Mittagsmenü / lunch menu | Description: Garnelen in Masala-Soße nach indischer Art | Allergens: d,f"
1,Tomatar Shorba,Tomatencremesuppe,4.80,Suppen,starter,false,true,true,false,false,false,false,false,false,f,3,Name: Tomatar Shorba | Category: Suppen | Description: Tomatencremesuppe | Allergens: f
2,Daal Shorba,Delikate indische Linsensuppe,5.00,Suppen,starter,false,true,true,false,false,false,false,false,false,g,3,Name: Daal Shorba | Category: Suppen | Description: Delikate indische Linsensuppe | Allergens: g
3,Chicken Shorba,Mild gewürzte Hühnersuppe,5.90,Suppen,starter,false,false,false,true,false,false,false,false,false,,3,Name: Chicken Shorba | Category: Suppen | Description: Mild gewürzte Hühnersuppe
5,Gemischter Salat,Salat der Saison,6.00,Salate,starter,false,true,true,false,false,false,false,false,false,,3,Name: Gemischter Salat | Category: Salate | Description: Salat der Saison
6,Chicken Tikka Salat,Mit Hähnchenfilet im Tandoor zubereitet,10.80,Salate,starter,false,false,false,true,false,false,false,false,false,f,3,Name: Chicken Tikka Salat | Category: Salate | Description: Mit Hähnchenfilet im Tandoor zubereitet | Allergens: f
7,Indian Channa Chat,"Mit Kichererbsen, Zwiebeln, Tomaten, Gurken, Kartoffeln nach indischer Art",7.50,Salate,starter,false,true,true,false,false,false,false,false,false,,4,"Name: Indian Channa Chat | Category: Salate | Description: Mit Kichererbsen, Zwiebeln, Tomaten, Gurken, Kartoffeln nach indischer Art"
8,Paneer Tikka Salat,"Mit hausgemachtem indischem Käse, Paprika, Zwiebeln",10.80,Salate,starter,false,true,false,false,false,false,false,false,true,f,4,"Name: Paneer Tikka Salat | Category: Salate | Description: Mit hausgemachtem indischem Käse, Paprika, Zwiebeln | Allergens: f"
10,Papadamm (2 Stück),"Dünne, knusprige Linsenwaffeln",3.00,Vorspeisen,starter,false,true,true,false,false,false,false,false,false,,4,"Name: Papadamm (2 Stück) | Category: Vorspeisen | Description: Dünne, knusprige Linsenwaffeln"
